Crop,Technology,Water_Use_Liters_per_kg,Land_Use_tons_per_ha,CO2_Emissions_kg_per_kg,Energy_Consumption_MJ_per_kg
Maize,Conventional,2000,2.0,0.4,3.0
Maize,Greenhouse,1500,2.5,0.35,5.0
Maize,Hydroponics,500,3.0,0.3,6.0
Maize,Aquaponics,550,2.8,0.32,6.5
Wheat,Conventional,1000,3.0,0.45,3.5
Wheat,Greenhouse,800,3.5,0.4,5.5
Wheat,Hydroponics,300,4.0,0.35,6.5
Wheat,Aquaponics,350,3.8,0.37,7.0
Rice,Conventional,3000,4.5,0.65,5.0
Rice,Greenhouse,2500,5.0,0.55,7.0
Rice,Hydroponics,900,6.0,0.5,8.0
Rice,Aquaponics,1000,5.5,0.52,8.5
Potatoes,Conventional,300,30.0,0.2,1.5
Potatoes,Greenhouse,250,35.0,0.18,2.0
Potatoes,Hydroponics,100,40.0,0.15,2.5
Potatoes,Aquaponics,120,38.0,0.16,2.8
Soybeans,Conventional,2000,2.5,0.3,2.5
Soybeans,Greenhouse,1500,3.0,0.25,4.0
Soybeans,Hydroponics,600,3.5,0.2,5.0
Soybeans,Aquaponics,650,3.3,0.22,5.5
Sugarcane,Conventional,1800,100.0,0.4,5.5
Sugarcane,Greenhouse,1500,110.0,0.35,7.0
Sugarcane,Hydroponics,600,120.0,0.3,8.0
Sugarcane,Aquaponics,700,115.0,0.32,8.5
Tomatoes,Conventional,100,60.0,0.4,15.0
Tomatoes,Greenhouse,75,70.0,0.35,20.0
Tomatoes,Hydroponics,30,80.0,0.3,25.0
Tomatoes,Aquaponics,35,75.0,0.32,26.0
Bananas,Conventional,1000,35.0,0.2,4.0
Bananas,Greenhouse,800,40.0,0.18,5.5
Bananas,Hydroponics,300,45.0,0.15,6.5
Bananas,Aquaponics,350,42.0,0.16,7.0
Peanuts,Conventional,550,3.0,0.35,2.5
Peanuts,Greenhouse,450,3.5,0.3,4.0
Peanuts,Hydroponics,200,4.0,0.25,5.0
Peanuts,Aquaponics,250,3.8,0.27,5.5
Cotton,Conventional,12000,1.5,0.8,4.5
Cotton,Greenhouse,10000,1.8,0.7,6.0
Cotton,Hydroponics,4000,2.0,0.6,7.0
Cotton,Aquaponics,4500,1.9,0.65,7.5
